NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
924499;76.791.186.127;23000;23000;0;32500;32500;32500;0;0;0;0;0;0;0;0;0;0;0;0;21.291.186.127;20800;0;20800;49.118.612.692;40.285.313.539;69.925.992.233;38.097.482.115;0;10;5
924501;26.175.779.665;0;0;0;21320;21320;21320;0;0;0;0;0;0;0;0;0;0;0;0;48.557.796.649;4800;0;4800;557.796.649;557.796.649;0;0;0;5;3
924509;1.240.309.887;7000;7000;0;5400;0;0;0;5400;2500;0;2500;0;0;0;0;100;2800;0;30.988.702.722;0;0;0;30.988.702.722;30.988.702.722;0;0;0;2;1
924513;25.415.494.351;9000;9000;0;4400;0;0;0;4400;2000;2000;0;0;0;0;0;2400;0;6000;60.154.943.514;6000;0;6000;15.494.351.361;15.494.351.361;0;0;0;5;3
924535;40.233.305.744;0;0;0;20800;20800;20800;0;0;0;0;0;0;0;0;0;0;0;0;19.433.305.744;19200;6000;13200;2.333.057.435;12.395.481.089;69.925.992.233;39.424.940.383;0;7;4
924539;40.287.578.888;0;0;0;34100;37700;37700;0;-3600;0;0;0;0;-3600;0;3600;0;0;0;61.875.788.884;6000;0;6000;18.757.888.844;15.494.351.361;93.234.656.311;78.849.880.766;0;7;4
924546;80.430.988.703;57000;57000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15000;84.309.887.027;8400;0;8400;30.988.702.722;30.988.702.722;0;0;0;10;5
924557;28.305.913.939;0;0;0;20150;20150;20150;0;0;0;0;0;0;0;0;0;0;0;0;8.155.913.939;8100;0;8100;55.913.938.972;92.966.108.166;46.617.328.155;0;0;6;3
924562;15.046.483.054;0;0;0;600;0;0;0;600;0;0;0;0;0;0;0;600;0;12000;24.464.830.541;2400;0;2400;46.483.054.083;46.483.054.083;0;0;0;2;1
924572;16.021.239.548;0;0;0;14820;14820;14820;0;0;0;0;0;0;0;0;0;0;0;0;12.012.395.481;1200;0;1200;12.395.481.089;12.395.481.089;0;0;0;3;2
924580;1.434.309.887;0;0;0;14340;14340;14340;0;0;0;0;0;0;0;0;0;0;0;0;30.988.702.722;0;0;0;30.988.702.722;30.988.702.722;0;0;0;2;1
924583;47.315.494.351;6500;6500;0;23300;22100;22100;0;1200;0;0;0;0;0;0;0;1200;0;16000;15.154.943.514;1500;0;1500;15.494.351.361;15.494.351.361;0;0;0;8;4
924606;6350;0;0;0;350;0;0;0;350;0;0;0;0;350;350;0;0;0;0;6000;6000;0;6000;0;0;0;0;0;1;1
924612;4.782.394.953;16000;16000;0;23400;23400;23400;0;0;0;0;0;0;0;0;0;0;0;0;84.239.495.298;8400;0;8400;23.949.529.843;23.949.529.843;0;0;0;8;4
