NQUEST,NORD,INTPER,ATTIVP,PARTIME,CONTRATT,TUTTANNO,MESILAV,PUBBLICO,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,OREDES
57086,1,1,1,1,1,1,12,1,,36,2,,37000,1,3000,40
57138,2,1,1,1,1,1,12,1,,25,1,2,25000,2,0,
57232,2,1,2,1,1,3,,2,1,24,2,,5000,2,0,
57546,1,1,1,1,1,1,12,2,7,36,2,,16000,2,0,0
57546,2,2,1,1,1,2,8,2,2,40,2,,11000,2,0,
57547,3,1,1,1,1,2,10,2,2,40,2,,10000,2,0,
57609,3,1,1,1,1,1,12,2,6,40,2,,14850,2,0,
57621,1,1,1,1,1,1,12,2,7,40,1,2,25350,1,200,20
57670,1,1,1,1,1,1,12,2,4,42,2,,20800,2,0,45
57670,2,1,1,2,1,1,12,2,1,15,2,,3000,2,0,
57670,3,3,1,2,1,1,12,2,1,15,2,,3000,2,0,
57911,1,1,1,2,1,1,12,2,2,25,2,,13000,2,0,25
57911,2,1,1,1,1,1,12,2,6,40,2,,24000,2,0,
57962,1,1,1,1,1,1,12,2,4,40,2,,25000,2,0,40
57962,2,2,1,1,1,1,12,1,,35,2,,18000,2,0,35
58042,1,1,1,1,1,1,12,2,4,40,2,,20800,2,0,40
58053,1,1,1,1,1,1,12,2,4,40,2,,25000,1,,40
58055,1,1,1,1,1,1,12,2,3,40,2,,24500,2,0,40
58055,2,2,1,1,1,1,12,2,4,40,2,,27300,2,0,40
91043,1,1,1,1,2,1,12,2,2,40,2,,18000,2,0,40
91067,1,1,1,1,1,1,12,2,6,40,2,,17000,2,0,50
91068,1,1,1,1,2,1,12,1,,36,1,2,16800,2,0,50
91071,1,1,1,2,1,1,12,2,4,30,2,,17000,1,600,30
91071,2,2,1,1,1,1,12,2,4,42,1,2,19300,2,0,42
91074,1,1,1,1,1,1,12,2,7,38,1,0,20000,2,0,40
91074,2,1,1,1,1,1,12,2,7,40,1,0,16000,1,1000,
91079,1,1,1,1,2,2,10,1,,36,2,,14000,2,0,40
91079,2,1,1,1,1,2,5,2,7,40,1,3,8300,2,0,
91079,2,1,2,1,2,2,3,2,2,40,2,,3900,2,0,
91081,2,2,1,1,1,1,12,2,2,35,2,,15000,2,0,
91095,1,1,1,1,1,1,12,1,,40,1,0,18000,2,0,40
104002,2,1,1,1,1,1,12,1,,40,1,2,20000,2,0,
111052,3,3,1,1,2,2,8,2,2,45,2,,11000,2,0,40
138399,2,2,1,1,1,1,12,1,,35,2,,22750,2,0,40
176011,2,1,1,1,1,1,12,2,7,40,2,,15806,2,0,
176068,3,2,1,1,2,1,12,2,2,40,2,,15548,2,0,
178058,2,2,1,1,1,2,10,1,,36,2,,10000,2,0,
193082,1,1,1,2,1,1,12,2,2,32,2,,10500,2,0,32
217081,1,1,1,1,1,1,12,2,2,40,1,4,21000,2,0,40
