NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
859580,1,,2,1,1,10,,1920,,2,,,,,,3,,1,2,1,2,,,,,,,1986,1
859584,1,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1988,1
859585,1,,3,1,2,1,2,1933,,1,2,9,,1936,,1,3,1,1,2,2,,,,,,,1998,1
859586,1,,2,1,7,10,,1898,,1,1,10,,1899,,2,,2,,,2,,,,,,,1955,1
859587,1,,3,2,,,,,,2,,,,,,1,4,2,,,2,,,,,,,2006,1
859588,1,,2,1,3,1,4,1947,,1,3,9,,1957,,1,4,1,4,2,2,,,,,,,2002,1
859591,1,,2,1,2,8,4,1952,,1,2,9,,1955,,1,4,1,3,4,2,,,,,,,2003,1
859592,1,,3,1,2,1,4,1932,,1,2,9,,1934,,1,1,1,2,1,2,,,,,,,1981,1
859596,2,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1968,1
859597,2,,1,1,3,1,4,1922,,1,3,9,,1928,,2,,2,,,2,,,,,,2,,1
859600,2,,2,1,3,1,4,,,1,3,9,,,,1,2,1,0,1,2,,,,,,2,,1
859601,2,,3,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1990,1
859605,2,,2,1,2,10,,1903,,1,1,9,,1910,,2,,2,,,1,2,2,1,1952,,,,1
859606,2,,3,1,1,1,4,1929,,1,1,9,,1936,,2,,2,,,2,,,,,,,1987,1
859611,2,,3,2,,,,,,2,,,,,,2,,1,1,1,2,,,,,,,1981,1
859616,2,,2,1,3,2,3,1929,,1,3,9,,1938,,2,,1,2,2,2,,,,,,,1986,1
859618,1,,4,2,,,,,,2,,,,,,1,4,2,,,2,,,,,,,1989,1
859619,1,,1,1,3,9,,1959,1,1,3,9,,1960,1,1,4,1,4,5,2,,,,,,,2010,1
859623,1,,4,2,,,,,,2,,,,,,2,,1,1,1,2,,,,,,,2006,1
859628,1,,1,1,3,9,,1943,,1,3,9,,1943,,1,2,2,,,2,,,,,,2,,1
859630,2,,3,1,3,1,2,1942,,1,3,9,,1944,,1,4,1,1,4,2,,,,,,,2008,1
859631,2,,3,2,,,,,,2,,,,,,1,4,1,1,2,2,,,,,,,1977,1
