NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
685096,5,10,7,6,6,6,6,1,4,1,9,8,9,10,8,8,9,9,9,9,9,9,2,,1500,
685100,5,8,7,6,6,5,5,1,1,1,8,9,9,8,7,8,9,9,9,8,8,8,2,,5000,
685124,6,8,5,5,5,5,5,5,5,3,7,7,7,7,7,7,7,7,7,7,7,7,2,,10000,
685149,7,10,10,8,5,5,5,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
685164,6,9,9,8,7,6,6,5,7,1,8,9,10,8,7,8,8,8,10,7,8,8,2,,20000,
685200,2,10,7,6,5,3,2,2,5,3,10,10,10,10,10,10,10,10,10,10,10,10,2,2,,
685258,5,10,8,4,7,6,6,4,8,7,8,7,7,8,8,8,7,8,7,7,8,7,2,,5000,
685296,6,10,7,5,5,5,5,4,6,1,1,7,7,3,6,8,7,8,7,6,8,9,2,,5000,9
685297,2,10,7,7,7,4,4,1,5,1,10,10,10,8,8,8,10,10,10,8,8,10,2,1,,5
685378,8,10,8,5,4,3,2,2,1,4,8,10,7,10,9,10,9,10,7,9,9,9,2,1,,
685487,8,8,8,7,6,5,4,4,3,4,6,7,7,8,8,7,7,6,6,7,7,6,2,,3000,7
685503,9,10,9,9,10,9,7,7,8,1,5,10,10,10,9,9,9,10,10,10,9,8,2,,50000,
685517,8,10,10,8,9,7,8,7,7,10,10,10,10,10,8,9,10,10,10,10,10,10,2,1,,
685534,6,9,7,4,6,5,6,6,5,3,6,9,9,9,6,8,9,9,8,9,9,9,2,1,,
685543,1,8,6,3,3,3,3,1,2,5,8,8,8,9,8,8,7,7,8,7,7,7,2,1,,
685546,5,8,8,6,6,6,7,4,5,1,8,10,10,10,7,5,8,10,10,10,7,6,2,,10000,9
685588,5,9,8,7,7,7,7,7,3,1,8,8,8,8,6,7,8,8,8,8,8,8,2,,100000,
685622,7,8,6,5,5,5,5,5,6,10,8,10,10,10,9,6,10,10,10,10,10,6,2,1,,
685627,8,10,9,8,8,8,7,7,8,1,8,9,9,9,9,8,8,9,9,9,7,8,2,,1000,
685641,4,8,6,6,6,5,5,5,5,3,7,9,10,8,7,8,8,9,10,8,8,9,2,1,,
685647,6,10,9,6,7,8,8,5,6,8,8,9,8,8,8,8,8,9,8,8,8,9,2,2,,
685650,1,10,7,10,5,5,5,5,5,1,10,10,10,10,10,10,10,10,10,10,10,10,2,,5000,
685664,9,10,10,10,9,9,9,9,1,1,9,7,8,8,7,7,10,6,10,1,7,7,2,1,,
685673,5,8,8,5,6,6,6,3,3,6,6,5,6,6,7,6,6,5,8,7,6,7,2,1,,
685695,6,7,7,6,6,5,6,6,6,8,9,10,10,10,8,8,9,10,10,10,8,8,2,,10000,7
685742,4,10,5,6,6,5,3,3,2,3,9,9,9,10,8,7,9,9,9,9,9,9,2,1,,
685747,6,10,7,7,5,5,5,3,2,7,9,9,9,9,9,6,9,9,9,9,9,7,2,1,,
685769,6,10,7,7,3,3,2,2,4,2,8,10,10,10,8,8,7,10,10,10,9,8,2,1,,8
685793,5,8,7,5,7,7,6,4,5,3,8,8,9,8,8,9,8,9,9,7,8,9,2,,6000,
685805,8,10,6,5,5,4,5,3,1,10,1,10,10,9,5,3,5,10,10,5,6,7,2,1,,5
685836,6,9,7,6,6,6,6,4,6,1,8,8,10,8,9,9,10,8,10,8,9,9,2,2,,
685873,1,9,6,4,2,2,2,2,4,5,7,9,8,9,8,8,7,8,8,9,9,8,2,1,,10
685874,3,8,6,4,2,2,2,2,2,6,7,9,9,9,9,8,7,9,9,9,7,8,2,1,,6
685890,6,8,8,8,6,6,6,5,5,1,5,10,10,10,5,5,5,8,10,10,8,10,2,,4000,
685891,7,8,6,5,6,6,6,6,5,7,6,5,5,6,4,5,6,5,5,5,5,6,2,1,,
685902,6,8,7,7,6,7,7,5,5,7,7,8,7,8,8,8,6,7,6,6,7,7,2,,5000,
685903,5,8,5,2,2,2,2,2,2,2,4,10,8,10,4,5,7,8,8,8,10,9,2,1,,
685906,6,10,10,10,10,7,7,3,8,7,7,7,6,7,7,5,7,6,7,7,6,5,2,,5000,
685930,6,8,8,8,8,6,6,6,6,1,7,7,7,7,7,7,7,7,7,7,7,7,2,1,,
685956,1,10,9,9,7,7,1,1,7,1,8,10,10,10,10,10,8,10,10,10,10,10,2,1,,
685970,6,10,9,7,7,6,6,6,3,6,7,6,7,7,6,6,6,7,5,6,7,6,2,1,,
686009,9,10,9,9,9,8,7,6,9,1,9,9,9,9,9,8,8,9,9,9,9,8,2,,1000,
