nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
38964,1,1,3,2,1998,400,13,2,0,,2
38964,1,1,3,5,1982,700,13,2,0,,1
38979,1,1,1,1,2004,920,13,2,0,80,1
38992,1,1,1,1,1992,1000,13,2,0,50,1
38992,2,1,1,1,2006,3000,13,2,0,80,1
38995,1,1,2,1,2008,1800,13,2,0,80,1
39057,1,1,2,1,1991,1500,13,2,0,80,1
39058,2,1,1,1,1994,1400,13,2,0,90,1
39060,1,1,1,1,1985,600,13,2,0,70,1
39061,1,1,1,1,1993,1830,13,2,0,80,1
39086,1,1,1,1,2002,700,13,2,0,30,1
39086,2,1,2,1,1990,1500,13,2,0,70,1
39111,1,1,1,1,1981,980,13,2,0,80,1
39218,1,1,1,1,2001,1800,13,2,0,80,1
39227,1,1,1,1,1992,490,13,2,0,50,1
39227,1,1,1,5,2007,250,13,2,0,,2
39259,1,1,1,1,1998,1100,13,2,0,70,1
39259,2,2,1,1,1990,450,13,2,0,50,1
39284,1,1,2,1,1992,1650,13,2,0,100,1
39284,2,1,2,1,1988,1520,13,2,0,100,1
39351,1,1,1,1,2003,600,13,2,0,60,1
39351,2,2,1,1,1985,600,13,2,0,70,1
39356,1,1,1,1,2007,150,13,2,0,65,1
39356,2,2,1,1,2009,450,13,2,0,60,1
39433,2,1,1,1,1970,1200,13,2,0,80,1
39436,2,1,1,1,2003,1300,13,2,0,80,1
39441,1,1,1,1,2003,1400,13,2,0,95,1
39441,1,1,1,5,2001,400,13,2,0,,2
39488,1,1,2,1,2008,1150,13,2,0,80,1
39488,2,1,1,4,1982,800,13,2,0,,1
39488,2,1,1,5,2002,500,13,2,0,,2
39491,1,1,2,1,1997,1500,13,2,0,90,1
39491,2,2,2,1,1992,1100,13,2,0,90,1
39542,1,1,1,1,2006,700,13,2,0,80,1
39542,2,2,1,1,2011,500,13,2,0,50,1
39581,2,1,1,1,2010,950,13,2,0,80,1
39697,1,1,3,1,2007,2100,13,2,0,80,1
50052,1,1,1,2,1995,617,13,2,0,,1
50085,1,1,1,1,1999,750,13,2,0,80,1
50135,1,1,1,5,2011,890,13,2,0,,1
50178,1,1,1,2,2007,415,13,2,0,,1
50178,2,1,1,2,2010,440,13,2,0,,1
50231,1,1,1,1,1998,830,13,2,0,80,1
50232,1,1,1,1,1972,850,13,2,0,90,1
50232,2,2,1,3,1981,370,13,2,0,,1
50281,1,1,1,1,2004,1050,13,2,0,60,1
50618,1,1,1,1,1975,450,13,2,0,50,1
50618,2,2,1,1,1975,510,13,2,0,50,1
50674,1,1,1,1,1993,1100,12,2,0,65,1
51013,2,2,1,1,2011,1450,13,2,0,70,1
51351,3,1,1,1,1985,670,13,2,0,90,1
51351,4,1,1,1,1990,480,13,2,0,80,1
51352,1,1,1,1,2001,1500,13,2,0,80,1
51363,1,1,1,5,2010,600,13,2,0,,1
51444,1,1,2,1,2002,1100,13,2,0,90,1
51444,2,1,1,1,2008,900,13,2,0,80,1
51467,1,1,1,1,1990,720,13,2,0,50,1
51467,2,2,1,7,1993,440,13,2,0,,1
51544,1,1,1,1,2011,900,13,2,0,70,1
51544,2,2,1,1,2002,450,13,2,0,30,1
51719,1,1,1,1,1988,2300,13,2,0,70,1
51733,1,1,1,1,1999,789,13,2,0,65,1
51733,2,2,1,1,2000,250,13,2,0,30,1
51895,1,1,1,1,1995,1200,13,2,0,70,1
51895,2,2,1,1,1998,400,13,2,0,70,1
52400,1,1,1,1,2007,520,13,2,0,70,1
52455,1,1,1,1,1993,1200,13,2,0,80,1
52700,2,1,1,1,2008,1260,13,2,0,90,1
52716,1,1,1,1,1988,650,13,2,0,70,1
52716,2,2,1,1,1990,450,13,2,0,60,1
52718,1,1,1,5,2002,480,13,2,0,,1
52736,2,1,1,1,1987,650,13,2,0,50,1
52736,3,1,1,4,1997,260,13,2,0,,1
53028,1,1,1,3,2000,600,13,2,0,,1
53081,1,1,1,1,1990,970,13,2,0,70,1
53108,1,1,1,1,2003,1400,13,2,0,80,1
53108,2,2,1,3,2008,1100,13,2,0,,1
53109,1,1,1,2,1994,430,13,2,0,,1
53109,1,1,1,5,1999,460,13,2,0,,2
53202,1,1,1,1,2006,1400,13,2,0,70,1
53234,1,1,1,1,2002,1100,13,2,0,80,1
53234,2,1,1,1,1992,1100,13,2,0,70,1
53373,1,1,1,1,2005,1700,13,2,0,75,1
53380,1,1,1,1,1997,600,13,2,0,70,1
53380,1,1,1,5,1973,300,13,2,0,,2
53520,1,1,1,1,2007,1300,13,2,0,100,1
53520,1,1,3,1,1969,200,13,2,0,,2
53549,1,1,1,1,1995,1500,13,2,0,100,1
53549,2,2,1,1,2004,850,13,2,0,70,1
53564,1,1,1,1,1990,1800,13,2,0,50,1
53564,1,1,5,1,1990,980,13,2,0,25,2
53564,2,1,1,1,1996,480,13,2,0,50,1
53741,1,1,1,1,1983,288,13,2,0,50,1
53741,1,1,1,5,1990,900,13,2,0,,2
53997,1,1,1,1,1973,1400,13,2,0,120,1
53997,1,1,1,3,2012,450,13,2,0,,2
53997,2,2,1,1,1983,500,13,2,0,80,2
53997,2,2,2,1,1980,900,13,2,0,80,1
54143,1,1,1,1,1987,1700,13,2,0,80,1
54143,2,2,1,1,1990,480,13,2,0,80,1
54694,1,1,1,1,1996,1220,13,2,0,90,1
54694,2,1,1,1,2010,475,13,2,0,50,1
55094,1,1,2,1,2010,1250,13,2,0,100,1
55104,1,1,1,5,2009,500,13,2,0,,1
55147,1,1,1,1,2005,400,13,2,0,70,1
55147,2,1,1,1,1994,1200,13,2,0,80,1
55209,1,1,1,1,1967,430,13,2,0,50,1
55209,1,1,1,5,2007,270,13,2,0,,2
55300,1,1,1,5,1989,400,13,2,0,,1
55308,1,1,1,5,2012,690,6,2,0,,1
55349,1,1,1,1,2002,1100,12,2,0,60,1
55430,2,1,1,1,1995,1300,13,2,0,100,1
55430,2,1,1,5,1995,600,13,2,0,,2
55636,6,2,1,2,1971,500,13,2,0,,1
55774,1,1,1,5,1995,800,13,2,0,,1
56251,1,1,1,5,1985,600,13,2,0,,1
56270,1,1,1,1,1988,1200,13,2,0,70,1
56465,1,1,1,1,2010,900,13,2,0,50,1
56529,1,1,1,1,2004,600,13,2,0,15,1
56529,1,1,1,4,2006,480,12,2,0,,2
56563,1,1,1,1,2003,750,13,2,0,70,1
56563,2,2,1,1,2005,470,13,2,0,70,1
56572,1,1,1,1,2003,480,13,2,0,70,1
56572,1,1,1,5,2011,350,13,2,0,,2
56577,1,1,2,1,1994,1150,13,2,0,85,1
56582,2,1,1,1,2012,1260,2,2,0,90,1
56610,1,1,1,1,1988,470,13,2,0,75,1
56624,1,1,1,1,2011,1500,13,2,0,88,1
56624,2,2,1,1,2004,1200,13,2,0,80,1
56656,4,1,1,1,1986,600,13,2,0,80,1
56658,1,1,1,4,1999,1200,13,2,0,,1
56658,2,2,1,1,1999,1700,13,2,0,80,1
56677,1,1,1,1,1985,200,13,2,0,30,1
56677,1,1,2,1,1981,800,13,2,0,70,2
56677,2,1,2,1,1981,1000,13,2,0,80,1
56686,1,1,1,1,2011,1500,13,2,0,100,1
56721,2,1,1,1,2008,1100,13,2,0,80,1
56721,3,1,1,1,1985,400,13,2,0,90,1
56721,3,1,1,5,1996,100,13,2,0,,2
56761,1,1,1,1,1991,1300,13,2,0,80,1
56761,1,1,4,3,1980,250,12,2,0,,2
56761,2,1,1,1,1976,450,13,2,0,80,1
56762,1,1,1,1,1992,1170,13,2,0,70,1
56762,1,1,4,3,1972,400,12,2,0,,2
57042,1,1,1,1,2003,580,13,2,0,50,1
57138,1,1,1,1,2007,1500,13,2,0,95,1
