nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
32962,2,0,,,,,,,,,,,,,,,,2
32982,1,1,2,,,14,2,,,,,,,,,,,2
32987,1,6,1,1,1,14,1,40,,,,,,,,,,2
32987,2,2,2,,1,12,1,19,,,,,,,,,,2
33036,1,1,2,,,15,1,35,,,,,,,,,,2
33036,2,0,,,,,,,,,,,,,,,,2
33036,3,1,1,4,,18,1,10,,,,,,,,,,2
33038,1,0,,,,,,,,,,,,,,,,1
33038,2,4,1,3,1,16,1,19,,50,,,,,,,,1
33038,3,1,2,,,24,1,,11,,,,2,,,,,1
33038,4,1,2,,,22,2,,,,,,,,,,,1
33228,1,1,2,,,27,1,42,,,,,,,,,,2
33245,1,3,2,,1,18,1,36,,,,,,,,,,2
33245,2,1,2,,,25,1,15,,,,,,,,,,2
33275,1,2,1,2,3,23,1,35,,,,,,,,,,1
33275,2,1,1,1,,25,1,32,,,,,,,,,,1
33303,1,2,2,,1,20,1,35,,,,,,,,,,2
33303,2,3,2,,1,20,1,30,,,,,,,,,,2
33328,1,2,1,1,3,17,1,37,,43,62,60,,,,,,2
33328,2,1,2,,,14,1,25,,,,,,,,,,2
33328,3,1,2,,,14,1,25,,,,,,,,,,2
33328,4,3,2,,1,19,1,20,,35,,,2,,,,,2
33328,5,2,2,,1,19,1,8,,22,,,1,,,,,2
33328,6,1,2,,,21,1,2,,,,,2,,,,,2
33335,1,3,2,,1,19,1,32,,27,63,80,,,,,,2
33335,2,1,2,,,15,1,37,,,,,2,,,,,2
33335,3,1,2,,,25,1,5,,,,,2,,,,,2
33335,4,1,2,,,22,1,3,,,,,1,,,,,2
33336,1,1,2,,,18,1,23,,,65,60,,,,,,2
33336,2,1,2,,,20,1,34,,,,,,,,,,2
33348,1,2,2,,1,14,1,38,,,,,,,,,,2
33348,2,0,,,,,,,,,,,,,,,,2
33451,1,1,2,,,19,1,38,,,,,,,,,,2
33451,2,0,,,,,,,,,,,,,,,,2
33451,3,0,,,,,,,,,,,,,,,,2
33455,1,1,2,,,30,1,37,,,,,,,,,,2
33479,1,1,2,,,22,1,40,,,,,,,,,,2
