nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
355063,2,1,1,1,1,1,12,2,6,36,2,,18000,2,0
389045,2,1,1,1,1,1,12,2,2,40,2,,16000,2,0
389084,1,1,1,2,2,1,12,2,1,6,2,,1800,2,0
389084,2,1,1,1,1,1,12,2,2,50,2,,17000,2,0
500026,2,2,1,1,1,1,12,2,5,48,1,3,22500,2,0
500160,3,1,1,1,1,1,12,2,7,40,2,,14300,2,0
500176,3,1,1,1,2,1,12,2,2,40,2,,11800,2,0
500180,1,1,1,2,1,1,12,2,7,30,2,,10000,2,0
500586,3,1,1,1,1,1,12,2,6,38,2,,17000,2,0
500669,2,2,1,1,1,1,12,2,1,40,2,,9000,2,0
500682,1,1,1,1,1,1,12,1,,36,2,,21000,2,0
500726,2,1,1,1,1,1,12,1,,40,2,,20000,2,0
500726,3,1,1,1,1,1,12,2,6,40,2,,21000,2,0
500751,1,1,1,2,1,3,,2,1,11,2,,3000,2,0
501082,2,2,1,1,1,2,5,2,3,45,1,5,7000,2,0
501444,2,2,1,1,1,1,12,1,,40,2,,16900,2,0
501485,4,1,1,1,2,2,9,2,2,32,2,,14400,2,0
501569,1,1,1,2,1,1,12,2,2,24,2,,11000,2,0
501569,2,2,1,1,1,1,12,1,,36,2,,16900,2,0
501664,1,1,1,1,1,1,12,2,6,65,1,25,24500,2,0
501694,1,1,1,1,1,1,12,2,2,36,2,,16000,2,0
501723,1,1,1,1,1,1,12,1,,40,1,1,22000,2,0
501777,2,1,1,1,1,1,12,2,4,48,1,10,50000,2,0
501816,2,1,1,1,1,1,12,1,,40,2,,15600,2,0
501816,2,1,1,2,3,3,,2,7,10,2,,1400,2,0
501816,2,1,2,2,3,3,,1,,10,2,,200,2,0
502144,3,1,1,1,1,1,12,2,5,40,1,2,24000,2,0
502355,2,1,1,1,1,1,12,2,3,40,1,1,15500,2,0
502355,3,3,1,1,1,1,12,2,7,38,2,,19500,1,1540
502711,1,1,1,1,1,1,12,1,,24,2,,26000,2,0
502711,2,1,1,1,1,1,12,2,6,40,2,,35000,1,800
503308,2,1,1,1,1,1,12,2,7,30,1,0,11200,2,0
503560,2,1,1,1,1,1,12,2,3,38,2,,13000,2,0
503593,1,1,1,1,1,1,12,2,7,36,2,,21000,2,0
503593,2,1,1,2,2,2,9,1,,20,2,,5000,2,0
503674,1,1,1,1,1,2,9,2,4,37,2,,10800,2,0
503674,3,1,1,1,1,1,12,1,,19,2,,15000,2,0
503703,1,1,1,1,1,1,12,2,6,40,2,,23000,2,0
503703,2,2,1,1,1,1,12,1,,18,2,,22000,2,0
503850,2,1,1,1,1,1,12,1,,22,2,,24000,1,
503931,1,1,1,1,1,2,4,1,,36,2,,8500,2,0
503950,1,1,1,2,2,2,10,2,1,15,2,,4800,2,0
503950,2,2,1,1,1,1,12,2,7,40,2,,24709,2,0
503959,1,1,1,1,1,1,12,1,,35,1,5,13200,2,0
504110,1,1,1,1,1,1,12,2,3,40,2,,15000,2,0
504129,1,1,1,2,1,1,12,2,6,27,2,,7500,2,0
504395,1,1,1,1,1,1,12,1,,36,2,,20500,2,0
504453,1,1,1,1,1,1,12,2,2,40,1,5,20000,2,0
504453,2,2,1,2,1,1,12,2,2,20,1,2,12500,2,0
504453,3,1,1,1,2,1,12,2,1,40,2,,12500,2,0
504483,2,1,1,2,1,1,12,2,4,30,2,,13000,2,0
504483,3,1,1,1,1,1,12,2,5,40,1,1,19500,2,0
504490,1,1,1,1,1,1,12,1,,40,2,,22000,2,0
504490,2,1,1,2,2,1,12,2,6,25,2,,15000,2,0
504584,1,1,1,2,1,1,12,2,1,20,2,,5400,2,0
504584,2,1,1,1,1,1,12,2,6,42,2,,16500,2,0
504821,2,1,1,1,1,1,12,2,4,40,2,,15000,2,0
504885,1,1,1,2,1,1,12,2,5,5,2,,1200,2,0
504886,2,1,1,1,1,1,12,2,3,40,2,,22000,2,0
504886,3,1,1,1,2,2,4,2,1,40,2,,4000,2,0
504921,1,1,1,1,1,1,12,2,7,30,2,,17000,2,0
504921,2,2,1,1,1,1,12,2,2,40,2,,17000,2,0
504937,1,1,1,1,1,2,7,2,6,40,2,,13000,2,0
504956,1,1,1,1,2,1,12,1,,60,2,,19200,2,0
505022,1,1,1,1,1,1,12,2,2,40,2,,13000,2,0
505228,2,1,2,2,2,2,6,2,4,40,2,,3000,1,800
505322,1,1,2,2,2,3,,2,2,7,2,,2500,2,0
505334,2,1,1,1,1,1,12,2,3,40,2,,12500,2,0
505390,1,1,1,1,1,1,12,2,7,50,2,,40000,2,0
505390,2,2,1,1,1,1,12,2,7,45,2,,30000,2,0
505424,1,1,1,1,1,1,12,1,,36,2,,23000,2,0
505424,2,1,1,2,1,1,12,2,2,22,2,,14000,2,0
505436,1,1,1,1,1,1,12,2,7,37,2,,28600,1,1000
505436,2,2,1,1,1,1,12,2,7,41,1,4,24000,1,1000
505548,2,2,1,2,1,1,12,2,5,35,2,,12000,2,0
505566,1,1,1,2,2,1,12,2,1,20,2,,9300,2,0
505594,2,1,1,1,1,1,12,2,6,40,2,,14800,2,0
505594,3,3,1,2,1,1,12,2,7,24,1,1,8400,2,0
505655,3,1,1,1,1,1,12,2,7,40,1,3,27000,1,2000
505672,3,1,1,1,1,1,12,2,6,40,1,2,23000,1,1100
505768,1,1,1,2,1,1,12,2,1,20,1,10,7800,2,0
505768,2,1,1,1,1,1,12,2,2,40,1,10,26000,2,0
505806,2,2,1,1,1,1,12,2,4,40,2,,18000,2,0
505810,3,1,1,1,1,1,12,2,4,40,2,,22000,2,0
505818,2,2,1,1,1,1,12,1,,36,2,,14000,2,0
505818,3,1,1,1,2,2,11,2,4,40,1,2,7000,2,0
505820,2,1,1,1,1,1,12,2,2,40,2,,12000,2,0
505839,1,1,1,2,1,1,12,1,,33,1,1,18000,1,1300
505839,2,2,1,1,1,1,12,2,7,38,2,,15000,1,1600
505881,3,1,1,1,1,1,12,2,3,32,2,,15000,2,0
506107,1,1,1,1,1,1,12,1,,36,2,,19500,2,0
506126,2,1,1,1,1,1,12,2,5,40,2,,16800,2,0
506152,2,1,1,1,1,1,12,2,2,40,2,,15000,2,0
506184,3,1,1,1,1,1,12,2,7,40,2,,18000,2,0
506385,1,1,1,2,1,1,12,2,1,4,2,,1300,2,0
506385,4,1,1,1,1,1,12,1,,36,2,,18000,2,0
506389,2,2,1,2,1,1,12,2,1,7,2,,2400,2,0
506410,1,1,1,1,1,1,12,2,7,36,1,1,15000,2,0
506410,2,1,1,1,1,1,12,2,2,40,1,2,25000,2,0
