nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
687569,83087.633513,64000,60000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,19087.633513,17400,0,17400,1687.6335129,59.340332682,0,1882.2333273,253.94014709
687576,46138.357172,0,0,0,32300,32300,32300,0,0,0,0,0,0,0,3500,3500,0,10338.357172,10200,0,10200,138.35717206,138.35717206,0,0,0
687582,89029.007526,0,0,0,14000,39000,39000,0,-25000,0,0,-25000,0,25000,60000,60000,0,15029.007526,14400,0,14400,629.00752643,629.00752643,0,0,0
687600,41178.397737,1700,1700,0,28160,27560,27560,0,600,0,0,600,600,0,0,0,0,11318.397737,8900,0,8900,2418.3977368,12.17069369,17.604001039,2388.623042,0
687630,6370,0,0,0,6370,6370,6370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687644,8023.7361331,12000,12000,0,-4000,0,0,0,-4000,0,0,-4000,0,4000,0,0,0,23.736133073,0,0,0,23.736133073,23.736133073,0,0,0
687685,44961.038343,19500,19500,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,9861.038343,9292.9269439,0,9292.9269439,568.11139909,410.02052109,0,158.090878,0
687699,54731.525401,46000,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8731.5254008,7200,0,7200,1531.5254008,339.07607631,1192.4493245,0,0
687831,14893.661516,0,0,0,10010,10010,10010,0,0,0,0,0,0,0,0,0,0,4883.6615159,4800,0,4800,83.661515923,83.661515923,0,0,0
687833,10216.025829,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,3716.0258292,3600,0,3600,116.02582916,116.02582916,0,0,0
687841,7650,0,0,0,5850,5850,5850,0,0,0,0,0,0,0,0,0,0,1800,1800,0,1800,0,0,0,0,0
687845,10300,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,1200,1200,0,1200,0,0,0,0,0
687849,27500,18500,18500,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,1200,1200,0,1200,0,0,0,0,0
687851,7050,0,0,0,5850,5850,5850,0,0,0,0,0,0,0,0,0,0,1200,1200,0,1200,0,0,0,0,0
687878,10411.868067,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,11.868066536,0,0,0,11.868066536,11.868066536,0,0,0
687883,23920.934033,18000,18000,0,5915,5915,5915,0,0,0,0,0,0,0,0,0,0,5.9340332682,0,0,0,5.9340332682,5.9340332682,0,0,0
687888,36809.63989,0,0,0,33150,33150,33150,0,0,0,0,0,0,0,0,0,0,3659.6398898,3600,0,3600,59.639889833,59.639889833,0,0,0
687892,23250,0,0,0,21450,21450,21450,0,0,0,0,0,0,0,0,0,0,1800,1800,0,1800,0,0,0,0,0
687893,15300,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,3600,3600,0,3600,0,0,0,0,0
687894,18359.835114,0,0,0,16380,16380,16380,0,0,0,0,0,0,0,0,0,0,1979.8351137,1800,0,1800,179.83511372,179.83511372,0,0,0
687897,16879.114745,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,2579.1147446,2400,0,2400,179.11474456,179.11474456,0,0,0
687915,14501.636968,0,0,0,9620,9620,9620,0,0,0,0,0,0,0,0,0,0,4881.6369682,4800,0,4800,81.636968203,81.636968203,0,0,0
687916,27279.235124,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,9079.2351244,9000,0,9000,79.235124444,79.235124444,0,0,0
687917,26247.472266,19000,19000,0,7200,0,0,0,7200,7200,0,0,0,0,0,0,0,47.472266145,0,0,0,47.472266145,47.472266145,0,0,0
687933,20405.934033,0,0,0,16800,16800,16800,0,0,0,0,0,0,0,0,0,0,3605.9340333,3600,0,3600,5.9340332682,5.9340332682,0,0,0
687934,12006.492701,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.492700562,0,0,0,6.492700562,6.492700562,0,0,0
687938,12400,0,0,0,10000,0,0,0,10000,10000,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
687953,20697.207838,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,12000,8697.2078379,12000,0,12000,-3302.792162,83.076465754,0,0,3385.8686279
687961,34094.895977,0,0,0,25610,25610,25610,0,0,0,0,0,0,0,0,0,0,8484.8959771,6500,0,6500,1984.8959771,1984.8959771,0,0,0
687971,22788.13353,0,0,0,22350,19850,19850,0,2500,2500,0,0,0,0,400,400,0,38.13353026,0,0,0,38.13353026,38.13353026,0,0,0
687981,35972.96553,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,8672.9655303,8400,0,8400,272.96553034,272.96553034,0,0,0
687986,6900,4500,4500,0,2400,0,0,0,2400,4400,0,-2000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
687987,5450,5500,5500,0,-50,0,0,0,-50,1750,0,-1800,0,1800,0,0,0,0,0,0,0,0,0,0,0,0
687988,9517.8020998,5600,5600,0,3900,0,0,0,3900,3900,0,0,0,0,0,0,0,17.802099805,0,0,0,17.802099805,17.802099805,0,0,0
687990,46056.52548,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,25256.52548,24200,12000,12200,1056.5254796,177.05071381,0,879.47476582,0
687992,48300,44000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,4300,0,4300,0,0,0,0,0
687993,15636.586253,11000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4636.5862529,4600,0,4600,36.586252922,36.586252922,0,0,0
688003,39380.981289,5600,5600,0,25900,25100,25100,0,800,800,0,0,0,0,1500,1500,0,6380.981289,6000,0,6000,380.981289,380.981289,0,0,0
688009,10695.448897,5400,5400,0,0,0,0,0,0,3000,0,-3000,0,3000,0,0,0,5295.4488968,7200,0,7200,-1904.551103,0,0,0,1904.5511032
688086,53347.157397,0,0,0,42900,42900,42900,0,0,0,0,0,0,0,0,0,0,10447.157397,10100,0,10100,347.15739699,347.15739699,0,0,0
688104,11640,0,0,0,6240,6240,6240,0,0,0,0,0,0,0,0,0,0,5400,5400,0,5400,0,0,0,0,0
688111,24459.360975,23960,23000,960,0,0,0,0,0,0,0,0,0,0,0,0,0,499.36097497,0,0,0,499.36097497,154.28486497,345.07611,0,0
688123,30981.480166,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,3681.4801663,3600,0,3600,81.480166305,81.480166305,0,0,0
688128,21838.366133,17000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4838.3661327,4800,0,4800,38.366132739,38.366132739,0,0,0
688139,48758.954426,14000,14000,0,0,0,0,0,0,0,0,0,0,0,16067.227873,16067.227873,0,18691.726553,18200,18200,0,491.72655259,178.02099805,0,313.70555454,0
688142,13967.8021,1150,1150,0,800,0,0,0,800,800,0,0,0,0,12000,12000,0,17.802099805,0,0,0,17.802099805,17.802099805,0,0,0
688149,21385.200678,0,0,0,9100,9100,9100,0,0,0,0,0,0,0,0,0,0,12285.200678,12000,0,12000,285.20067758,285.20067758,0,0,0
