NQUEST,Y,CN,CD1,CD2,CD,C,S
55147,41500,26600,0,0,0,26600,14900
55209,15600,16040,0,0,0,16040,-440
55300,8865.3512278,8400,0,0,0,8400,465.35122779
55308,7750.6812599,14400,0,0,0,14400,-6649.31874
55349,17679.489273,15360,0,0,0,15360,2319.4892732
55425,8358.8432559,10080,0,110,110,10190,-1831.156744
55430,29492.257263,28100,0,0,0,28100,1392.2572628
55636,64185.742427,56100,10000,100,10100,66200,-2014.257573
55774,28700,30940,0,200,200,31140,-2440
55799,45381.52341,47160,0,400,400,47560,-2178.47659
56251,20000,18000,0,0,0,18000,2000
56270,16735.6042,21500,0,0,0,21500,-4764.3958
56465,15154.944532,13560,0,80,80,13640,1514.9445323
56529,58157.195315,49800,10000,600,10600,60400,-2242.804685
56563,21110.18832,14580,0,0,0,14580,6530.1883197
56572,16350.218898,12420,0,0,0,12420,3930.2188982
56577,20233.076466,14920,0,0,0,14920,5313.0764658
56582,33620.228498,19480,0,200,200,19680,13940.228498
56603,35323.736133,28100,0,800,800,28900,6423.7361331
56610,13610,11880,0,0,0,11880,1730
56624,47194.944532,35400,0,0,0,35400,11794.944532
56656,52576.472193,38400,0,0,0,38400,14176.472193
56658,46872.591108,26900,0,1300,1300,28200,18672.591108
56677,35718.680665,30000,0,700,700,30700,5018.6806654
56686,50548.770752,30100,0,20000,20000,50100,448.77075178
56721,38891.57366,34770,0,0,0,34770,4121.5736599
56761,74591.594639,61850,0,200,200,62050,12541.594639
56762,52250.594865,41620,0,500,500,42120,10130.594865
57027,27378.020998,19200,0,0,0,19200,8178.020998
57042,12340,11760,0,0,0,11760,580
57043,22237.361331,20400,0,0,0,20400,1837.3613307
57086,43805.309706,30000,0,700,700,30700,13105.309706
57138,70738.274809,49824,0,600,600,50424,20314.274809
57217,9507.3371517,14340,0,0,0,14340,-4832.662848
57232,13305,15600,0,1000,1000,16600,-3295
57374,28909.797329,25800,0,0,0,25800,3109.797329
57546,26315.276605,35040,0,0,0,35040,-8724.723395
57547,32885.435224,18400,17000,300,17300,35700,-2814.564776
57609,56642.30289,42334,0,0,0,42334,14308.30289
57615,29331.623782,26400,0,0,0,26400,2931.6237815
57621,60045.870723,42940,0,600,600,43540,16505.870723
57670,30701.177742,26460,0,0,0,26460,4241.1777417
57779,29459.340333,28600,0,0,0,28600,859.34033268
57911,87345.029972,76658,0,0,0,76658,10687.029972
57962,57575.214772,35903.130339,0,0,0,35903.130339,21672.084434
58042,41759.340333,43000,0,0,0,43000,-1240.659667
58053,31849.253167,26400,0,1000,1000,27400,4449.2531666
58055,62052.835517,58700,0,0,0,58700,3352.8355169
58366,34096,26400,0,0,0,26400,7696
60078,39610,25720,0,0,0,25720,13890
91067,26000,22800,9000,0,9000,31800,-5800
91071,51310.739633,48000,150,1500,1650,49650,1660.7396331
91074,25857.118863,27740,0,150,150,27890,-2032.881137
91079,34175.99153,19140,0,0,0,19140,15035.99153
91081,25977.209187,34560,0,450,450,35010,-9032.790813
91095,38595.103607,31400,0,0,0,31400,7195.1036068
104002,42911.139162,23650,0,0,0,23650,19261.139162
111052,48913.714956,30060,0,2500,2500,32560,16353.714956
138091,51864.471447,38800,0,0,0,38800,13064.471447
138399,59871.596019,21740,0,2400,2400,24140,35731.596019
145007,33719.885321,30000,0,0,0,30000,3719.8853214
145012,28836.448863,27600,0,0,0,27600,1236.4488628
176011,34732.331884,32600,0,0,0,32600,2132.331884
176057,18304.252127,18000,0,0,0,18000,304.25212708
176061,16030,10200,0,0,0,10200,5830
176068,45181.227371,41700,0,0,0,41700,3481.2273707
178001,16517.12084,18000,0,0,0,18000,-1482.87916
178058,38365.561201,28200,2300,0,2300,30500,7865.5612008
193016,10200,8880,0,0,0,8880,1320
213440,41600,36540,0,0,0,36540,5060
215011,13995.934033,14800,0,0,0,14800,-804.0659667
215018,15830,14400,0,0,0,14400,1430
217081,25546.562407,24000,0,1000,1000,25000,546.5624075
224028,52702.944552,38400,0,0,0,38400,14302.944552
224048,17265.680665,14712,0,0,0,14712,2553.6806654
230003,35632.759731,25800,12400,1800,14200,40000,-4367.240269
230029,36776.677148,30100,0,400,400,30500,6276.6771479
230030,19087.361331,19080,0,0,0,19080,7.3613307269
230037,29347.385295,38400,0,1250,1250,39650,-10302.6147
230039,4944.2664343,22100,0,150,150,22250,-17305.73357
230043,12103.054873,15936,0,149,149,16085,-3981.945127
230048,15824.157348,11876,0,0,0,11876,3948.1573478
