nquest,quest,nquestp,contint,nopcf,stupcf,conpcf,setpcf,anapcf,citpcf,vitpcf,nompcf,anmortpcf,itpcf,nomcf,stumcf,conmcf,setmcf,anamcf,citmcf,vitmcf,nommcf,anmortmcf,itmcf,vitfcf,nfratcf,nsorecf,vitfco,nfratco,nsoreco,figlicf,nfiglicf,nfiglinoit,parnoit,anconv,motivpcf,motivmcf,NCOMP,CAPI
720003,3,,1,1,1,9,,1949,,1,,,,1,2,9,,1952,,1,,,,1,2,1,1,2,0,2,,,,1999,,,4,0
720009,3,,1,1,2,8,1,1893,,2,1,1966,,1,2,8,1,1896,,2,1,1983,,1,1,3,1,2,2,1,3,,,1962,,,2,0
720110,3,,2,1,2,1,4,1929,,2,1,2006,,1,2,1,1,1927,,1,,,,1,3,1,1,1,4,1,2,,,1978,,,2,1
720116,3,,3,1,2,2,3,1905,,2,1,1984,,1,2,1,4,1925,,1,,,,2,,,1,1,0,2,,,,1983,,,5,1
720117,3,,4,1,5,6,4,1938,,1,,,,1,4,3,3,1938,,1,,,,1,1,0,1,1,0,2,,,,1998,,,4,1
720138,3,,1,1,2,6,4,1931,,2,1,2002,,1,2,9,,1930,,1,,,,1,1,1,1,1,2,2,,,,1991,,,4,1
720139,3,,2,1,1,8,4,1914,,1,,,,1,2,9,,1923,,2,1,2002,,1,1,0,1,2,0,1,2,,,1971,,,3,1
720157,3,,2,1,2,8,4,1922,,2,1,1999,,1,2,9,,1922,,2,1,2006,,1,1,0,1,2,2,1,2,,,1970,,,2,1
720161,3,,2,1,1,1,4,1906,,2,1,1968,,1,1,1,4,1901,,2,1,1982,,1,0,4,1,4,3,1,3,,,1970,,,2,1
720163,3,,2,1,4,2,4,1933,,1,,,,1,5,3,3,1926,,1,,,,2,,,,,,2,,,2,,,,3,1
720209,3,,2,1,2,8,4,1924,,1,,,,1,2,8,4,1932,,1,,,,1,0,1,1,3,1,2,,,,1977,,,5,1
720238,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,2,,,,2,,,,,,,1,1
720256,3,,2,1,2,1,4,1942,,1,,,,1,3,2,3,1946,,1,,,,1,1,2,1,0,1,2,,,,1997,,,4,1
720312,3,,3,1,2,1,3,1929,,2,1,2005,,1,2,9,,1934,,1,,,,1,2,1,2,,,2,,,,1991,,,3,1
720373,3,,1,1,2,1,4,1931,,1,,,,1,2,9,,1938,,1,,,,1,1,0,1,1,2,2,,,,1984,,,4,1
720403,3,,1,1,1,1,1,1913,,2,1,2004,,1,1,1,1,1920,,1,,,,1,1,1,,,,2,,,,,,,2,0
720404,3,,2,1,2,1,1,1939,,2,1,2005,,1,1,9,,1940,,1,,,,1,3,0,1,5,1,2,,,,1984,,,6,0
720415,3,,3,1,4,7,2,1920,,2,1,1999,,1,2,8,4,1926,,1,,,,1,3,0,1,0,1,2,,,,1992,,,3,0
720416,3,,2,1,2,1,1,1916,,2,1,2001,,1,2,9,,1921,,1,,,,1,1,4,1,0,3,1,1,,,1975,,,3,0
720503,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,,,,1,3,,,,,,3,1
720566,3,,1,2,,,,,,2,2,,,2,,,,,,3,,,,2,,,2,,,2,,,,1993,,,6,1
720593,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,1,1,1,1,0,1,2,,,1963,,,2,1
720603,3,,1,1,1,1,4,1961,,1,,,,1,1,9,,1962,,1,,,,1,2,1,1,1,0,2,,,,2003,,,4,1
720610,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,3,1,1,0,2,,,,1975,,,5,1
720634,3,,1,1,2,2,3,1917,,2,2,,,1,2,9,,1923,,1,,,,1,1,1,1,0,1,1,1,,,1979,,,3,1
720646,3,,1,1,1,1,1,1912,,2,2,,,1,1,9,,1921,,2,2,,,1,2,3,1,4,5,1,3,,,1961,,,2,1
720784,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,1,0,1,1,1,1,3,,,1962,,,2,1
720854,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,0,,,,1,1,,,,,,1,1
720883,3,,1,1,3,9,,1942,,2,1,2005,,1,3,9,,1944,,1,,,,1,1,2,2,,,2,,,,2001,,,3,1
720889,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,1,1,2,1,1,1,,,1963,,,3,1
721201,3,,2,1,1,2,4,1934,,1,,,,1,2,9,,1942,,1,,,,1,0,2,1,1,1,2,,,,2000,,,4,0
721203,3,,2,1,2,1,1,1920,,2,2,,,1,2,9,,1925,,2,2,,,1,1,1,1,2,1,2,,,,1981,,,4,0
721260,3,,1,1,1,1,1,1895,,2,1,1968,,1,1,9,,1900,,2,1,1980,,2,,,,,,1,2,,,,,,1,0
721303,3,,2,1,2,1,2,1928,,1,,,,1,2,9,,1933,,2,1,1972,,1,1,4,1,0,2,2,,,,1980,,,4,0
721345,3,,2,1,1,1,1,1880,,2,1,1919,,1,1,1,1,1888,,2,1,1964,,2,,,2,,,1,2,,,1942,,,2,0
721520,3,,2,1,2,1,2,1933,,2,1,2003,,1,2,9,,1937,,1,,,,1,0,1,1,1,0,2,,,,1990,,,4,1
721521,3,,2,1,1,2,3,1921,,1,,,,1,1,9,,1921,,1,,,,1,2,0,1,3,1,2,,,,1991,,,4,1
721548,3,,1,1,1,1,2,1925,,1,,,,1,1,1,4,1928,,1,,,,2,,,1,2,0,2,,,,1991,,,2,1
721602,3,,1,1,2,1,1,1918,,2,1,1979,,1,2,9,,1922,,2,1,1970,,2,,,1,0,4,1,1,,,1974,,,2,1
721628,3,,3,1,3,7,4,1952,,1,,,,1,2,9,,1960,,1,,,,1,0,2,,,,2,,,2,,,,1,1
721631,3,,1,1,2,7,1,1883,,2,1,1963,,1,2,9,,1893,,2,1,1979,,1,0,1,2,,,1,1,,,1951,,,2,1
721717,3,,3,1,5,3,3,1941,,1,,,,1,4,9,,1949,,1,,,,1,0,1,2,,,2,,,,1996,,,4,1
721735,3,,2,1,4,4,3,1897,,2,1,1943,,1,2,9,,1897,,2,1,1985,,1,1,0,,,,1,3,,,,,,1,1
721747,3,,2,1,2,1,1,1905,,2,1,1976,,1,2,9,,1913,,2,1,1994,,1,2,5,1,3,2,1,2,,,1970,,,2,1
721768,3,,1,1,2,8,1,1906,,2,2,,,1,2,9,,1912,,2,2,,,1,2,0,,,,1,3,,,,,,1,1
721777,3,,3,1,1,1,3,1918,,2,1,2001,,1,1,8,1,1923,,1,,,,1,1,2,1,1,0,2,,,,1988,,,4,1
721804,3,,1,1,3,1,2,1938,,1,,,,1,3,8,1,1943,,1,,,,1,1,1,1,1,1,2,,,,1987,,,3,0
721806,3,,2,1,1,1,1,1904,,2,1,1983,,1,1,9,,1906,,2,1,1996,,1,2,0,1,1,1,1,3,,,1965,,,2,0
721833,3,,2,1,1,1,2,1900,,2,1,1968,,1,2,9,,1909,,2,1,1987,,1,2,0,1,2,1,2,,,,1955,,,2,0
721842,3,,3,1,2,1,4,1889,,2,1,1980,,1,2,2,2,1901,,2,1,1980,,1,0,3,,,,1,2,,2,,,,1,0
721843,3,,2,1,2,2,3,1915,,2,1,1998,,1,1,9,,1921,,2,1,1997,,1,2,0,1,0,1,2,,,,1973,,,3,0
721862,3,,2,1,2,1,2,1905,,2,1,1970,,1,2,9,,1907,,2,1,1975,,1,2,0,1,3,1,1,2,,,1966,,,2,0
721871,3,,3,1,3,1,3,1927,,2,1,1980,,1,2,9,,1932,,1,,,,1,0,1,1,2,0,2,,,,1987,,,4,0
721872,3,,1,1,4,2,2,1887,,2,1,1961,,1,2,9,,1904,,2,1,1977,,1,1,2,,,,2,,,2,,,,1,0
722003,3,,4,1,2,1,2,1919,,2,1,1976,,1,2,9,,1923,,2,1,1991,,1,1,2,,,,1,2,,,,,,1,1
722007,3,,2,1,3,2,2,1928,2,2,2,,,1,3,2,4,1936,2,1,,,2,2,,,,,,1,1,0,2,,,,1,1
722013,3,,3,1,4,2,3,1949,,1,,,,1,4,2,3,1950,,1,,,,2,,,,,,1,1,,2,,,,1,1
722021,3,,2,1,4,2,3,1953,,1,,,,1,4,2,3,1953,,1,,,,2,,,,,,2,,,2,,,,2,1
722041,3,,3,1,2,1,1,1911,,2,1,1976,,1,1,9,,1912,,2,1,2008,,2,,,2,,,2,,,,1985,,,2,1
722056,3,,2,1,4,2,2,1907,,2,1,1967,,1,2,9,,1908,,2,1,1998,,2,,,,,,1,2,,,,,,1,1
722075,3,,2,1,5,5,3,1923,,2,1,2003,,1,4,3,3,1934,,1,,,,1,1,0,,,,2,,,2,,,,1,1
722104,3,,1,1,2,1,1,1915,,2,1,1985,,1,1,9,,1916,,2,1,1992,,1,1,2,,,,1,1,,,,,,1,1
722116,3,,1,1,2,1,4,1925,2,2,1,2002,,1,2,9,,1930,2,1,,,2,1,4,2,,,,1,2,2,2,,,,2,1
722139,3,,1,2,,,,,,3,,,,1,2,1,2,1928,,2,1,1996,,1,0,1,,,,1,1,,2,,,,1,1
722141,3,,3,1,2,1,3,1942,2,1,,,2,1,2,9,,1953,2,1,,,2,2,,,1,2,3,2,,,,1996,,,4,1
722145,3,,2,1,2,1,1,1911,,2,2,,,1,1,1,4,1909,,2,1,1992,,1,1,0,1,0,6,1,2,0,,1961,,,2,1
722146,3,,1,1,3,8,4,1941,2,1,,,2,1,3,9,,1945,2,1,,,2,1,3,2,1,1,1,2,,,,2003,,,2,1
722212,3,,2,1,5,5,2,1929,,1,,,,1,5,3,3,1932,,1,,,,1,2,1,,,,2,,,2,,,,2,1
722258,3,,2,1,1,8,1,1923,,2,1,2007,,1,1,8,1,1927,,1,,,,1,2,1,1,1,0,2,,,,1988,,,4,1
722259,3,,2,1,1,9,,1911,,2,2,,,1,2,9,,1910,,2,2,,,1,3,0,1,2,2,1,2,,,1969,,,2,1
722310,3,,1,1,3,2,2,1922,,2,1,1988,,1,2,9,,1922,,2,1,1970,,1,2,0,1,0,2,1,2,,,1972,,,2,1
722321,3,,2,1,3,7,2,1940,,1,,,,1,2,1,2,1942,,1,,,,1,1,0,,,,2,,,2,,,,2,1
722324,3,,1,1,2,1,2,1896,,2,1,1971,,1,2,1,2,1898,,2,1,1976,,1,1,1,1,1,0,1,2,,,1964,,,2,1
722331,3,,1,1,4,4,4,1916,,2,1,1974,,1,3,9,,1919,,2,1,1998,,2,,,1,0,1,1,2,,,1969,,,2,1
722332,3,,2,1,5,5,3,1930,,1,,,,1,4,9,,1936,,1,,,,1,0,1,,,,2,,,2,,,,1,1
722353,3,,1,1,4,2,2,1900,,2,1,1980,,1,4,3,3,1904,,2,1,2002,,1,0,1,1,1,0,1,1,,,1971,,,2,1
722364,3,,1,1,3,1,3,1941,,1,,,,1,3,9,,1946,,1,,,,1,1,0,,,,2,,,2,,,,2,1
722365,3,,2,1,2,1,4,1932,,2,1,2007,,1,2,9,,1933,,2,1,1994,,1,2,0,1,1,0,2,,,,1986,,,3,1
722378,3,,1,1,3,2,3,1921,,2,1,1987,,1,2,9,,1921,,1,,,,1,2,2,1,1,0,2,,,,1974,,,2,1
722447,3,,1,1,2,1,2,1935,,1,,,,1,1,9,,1934,,2,1,2003,,1,1,3,1,4,1,2,,,,2000,,,4,1
722505,3,,2,1,2,9,,1912,,2,1,1986,,1,2,9,,1921,,1,,,,1,0,1,,,,2,,,2,,,,1,1
722509,3,,2,1,1,1,2,1932,,1,,,,1,2,9,,1930,,1,,,,1,1,1,2,,,2,,,,1993,,,4,1
722518,3,,2,1,2,7,4,1932,,2,1,2002,,1,2,7,4,1936,,1,,,,1,0,1,1,0,1,2,,,,2002,,,4,1
722601,3,,2,1,2,9,,1934,,1,,,,1,2,9,,1933,,1,,,,1,3,3,1,3,0,2,,,,1999,,,3,1
722608,3,,1,1,2,1,2,1941,,1,,,,1,1,9,,1951,,1,,,,1,1,1,1,0,1,2,,,,2004,,,3,1
722647,3,,1,1,1,9,,1894,,2,1,1961,,1,1,9,,1901,,2,1,1964,,1,2,1,,,,1,4,,,,,,1,1
722678,3,,2,1,5,8,4,1892,,2,1,1977,,1,3,9,,1891,,2,1,1973,,1,1,0,1,1,4,1,2,,,1959,,,2,1
722704,3,,2,1,3,2,2,1934,,1,,,,1,3,1,4,1938,,1,,,,1,0,1,1,0,1,2,,,,1999,,,5,1
722720,3,,2,1,4,2,3,1912,,2,1,2000,,1,3,9,,1914,,2,1,2004,,1,0,1,1,2,1,2,,,,1975,,,2,1
722743,3,,2,1,2,1,1,1935,,1,,,,1,2,9,,1945,,2,1,2007,,1,1,2,1,1,2,1,2,,,1984,,,3,1
722806,3,,1,1,2,2,4,1934,,1,,,,1,2,9,,1937,,1,,,,1,0,1,,,,2,,,2,,,,1,1
722807,3,,3,1,2,2,4,1934,,1,,,,1,2,8,4,1937,,1,,,,1,0,1,,,,2,,,2,,,,1,1
722812,3,,3,2,,,,,,1,,,,2,,,,,,1,,,,2,,,2,,,2,,,,2008,,,2,1
722823,3,,3,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,2,,,,2007,,,2,1
722837,3,,3,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,2,,,,2008,,,2,1
722853,3,,1,2,,,,,,1,,,,2,,,,,,1,,,,2,,,,,,2,,,2,,,,1,1
722862,3,,1,1,2,9,,1908,,2,1,1972,,1,2,9,,1908,,1,,,,2,,,,,,2,,,,,,,1,1
722875,3,,1,1,2,2,4,1934,,1,,,,1,2,9,,1937,,1,,,,1,0,1,,,,2,,,2,,,,1,1
722935,3,,2,1,2,1,2,1926,,2,1,2008,,1,2,9,,1933,,1,,,,1,1,0,1,1,1,2,,,,1990,,,4,1
723200,3,,3,1,1,1,1,1911,,2,1,1964,,1,1,1,1,1903,,2,1,1964,,1,1,1,1,0,3,1,6,,,1964,,,2,1
723204,3,,3,1,1,9,,1904,,2,2,,,1,1,9,,1907,,2,1,1985,,1,0,1,,,,1,1,,,,,,1,1
723207,3,,2,1,1,1,1,1934,,1,,,,1,1,1,1,1935,,1,,,,1,1,1,1,3,1,2,,,,1993,,,3,1
723323,3,,3,2,,,,,,2,2,,,2,,,,,,2,1,1948,,2,,,,,,2,,,2,,,,1,1
723405,3,,3,1,4,5,2,1932,,1,,,,1,4,3,3,1940,,1,,,,1,0,2,1,1,0,2,,,,1993,,,4,1
723448,3,,3,1,2,2,3,1901,,2,1,1979,,1,2,9,,1902,,2,1,1997,,1,1,1,1,1,0,2,,,,1961,,,2,1
723463,3,,2,1,3,2,2,1945,,1,,,,1,3,9,,1947,,1,,,,2,,,,,,2,,,2,,,,1,1
723480,3,,2,1,4,8,4,1906,,2,1,1975,,1,2,9,,,,,,,,2,,,,,,2,,,2,,,,2,1
723492,3,,2,1,2,1,2,1916,,2,1,1993,,1,2,9,,1919,,2,1,1995,,2,,,,,,2,,,2,,,,1,1
723504,3,,2,1,2,8,4,1940,,1,,,,1,2,2,4,1943,,1,,,,2,,,1,2,1,2,,,,1999,,,4,1
723506,3,,3,1,4,6,4,,,,,,,1,4,3,3,,,,,,,2,,,,,,2,,,2,,,,4,1
723507,3,,4,1,2,8,4,1911,,2,1,1974,,1,2,8,4,1909,,1,,,,1,1,2,2,,,1,2,,,1958,,,2,1
723535,3,,2,2,,,,,,2,1,1993,,2,,,,,,1,,,,2,,,,,,2,,,2,,,,1,1
723536,3,,1,1,2,1,4,1914,,2,1,1965,,1,2,1,4,,,,,,,1,0,1,1,0,1,2,,,,1998,,,3,1
723629,3,,2,1,5,4,5,1925,2,2,1,2005,,1,4,9,,1928,2,2,1,1984,,1,0,1,,,,2,,,2,,,,1,1
723666,3,,2,1,4,4,3,1911,,1,,,,1,4,9,,1915,,2,1,2008,,1,0,2,1,1,0,1,3,,,1966,,,2,1
723724,3,,1,1,4,9,,1912,,2,1,2008,,1,3,9,,1911,,2,1,2004,,1,1,1,1,1,0,1,1,,,1967,,,2,1
723745,3,,2,1,2,2,3,1896,,2,1,1973,,1,2,2,4,1896,,2,1,1929,,2,,,2,,,1,1,,,1950,,,2,0
723747,3,,4,1,1,1,2,1902,,2,1,1969,,1,1,1,2,1905,,2,1,1975,,2,,,,,,2,,,,,,,1,0
723934,3,,2,1,3,8,4,1911,,2,1,2000,,1,2,9,,1916,,1,,,,1,2,0,,,,2,,,2,,,,1,1
723986,3,,2,2,,,,,,2,1,1978,,2,,,,,,3,,,,1,0,1,1,0,1,1,1,,,1964,,,2,1
724042,3,,2,1,2,1,4,1916,,2,1,2001,,1,2,2,3,1921,,2,1,1998,,1,1,0,,,,1,1,,,,,,1,0
724103,3,,1,2,,,,,,2,2,,,1,1,1,4,1902,,2,1,1961,,1,1,0,,,,1,2,,,,,,1,1
724108,3,,1,1,2,8,1,1911,,2,1,1977,,1,2,9,,,,,,,,1,2,1,1,1,2,2,,,,1978,,,4,1
724132,3,,1,1,2,1,3,1929,,1,,,,1,2,9,,1929,,1,,,,1,1,1,,,,2,,,2,,,,3,1
724205,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,1,,,,,,1,1
724209,3,,2,1,1,1,1,1939,,1,,,,1,2,9,,1944,,1,,,,1,1,1,1,2,4,2,,,,1989,,,5,1
724210,3,,1,1,1,1,1,1925,,1,,,,1,2,9,,1923,,2,1,1984,,1,1,0,1,1,1,1,2,,,1967,,,2,1
724211,3,,2,1,1,1,1,1915,,2,1,1972,,1,1,9,,1920,,1,,,,1,1,0,,,,1,2,,,,,,1,1
724213,3,,2,1,1,1,1,1938,,2,1,1999,,1,2,9,,1944,,1,,,,1,0,1,,,,2,,,2,,,,1,1
724307,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,1,0,1,2,,,,1970,,,3,1
724312,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,,,,1,2,,,,,,1,1
724333,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,1,0,1,1,2,,,1976,,,2,1
724353,3,,2,1,4,8,4,1963,,1,,,,1,4,8,4,1968,,1,,,,1,1,0,,,,2,,,2,,,,1,1
724508,3,,4,1,1,1,4,1918,,1,,,,1,2,9,,1919,,2,1,2006,,1,3,1,1,4,2,1,3,,,1964,,,2,1
724509,3,,1,1,1,8,1,1913,,2,1,2002,,1,2,9,,1915,,2,1,1993,,1,3,1,1,1,1,2,,,,1975,,,3,1
724523,3,,3,1,5,6,4,1911,,2,1,2003,,1,4,9,,1924,,2,1,1994,,1,1,0,,,,2,,,2,,,,1,1
724537,3,,4,1,2,8,4,1912,,2,1,2000,,1,2,9,,1934,,2,1,1994,,1,1,3,1,1,0,1,1,,,1973,,,4,1
724543,3,,2,1,2,2,3,1913,,2,1,1994,,1,1,9,,1922,,1,,,,1,0,2,1,0,2,2,,,,1980,,,4,1
724549,3,,4,1,2,1,2,1918,,2,1,1983,,1,2,9,,1917,,1,,,,1,0,2,1,0,2,1,1,,,1970,,,4,1
724635,3,,2,2,,,,,,1,,,,2,,,,,,1,,,,2,,,,,,2,,,2,,,,2,1
724636,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,1,2,,,1960,,,2,1
724665,3,,4,1,3,1,2,1950,,1,,,,1,3,2,1,1956,,1,,,,2,,,2,,,2,,,,1998,,,4,1
724708,3,,1,2,,,,,,1,,,,2,,,,,,1,,,,1,3,0,1,3,3,2,,,,1990,,,5,1
724711,3,,1,1,2,1,2,1906,,2,1,1968,,1,2,1,2,1912,,2,1,1996,,1,0,2,1,0,4,1,2,,,1973,,,2,1
724714,3,,2,1,2,1,2,1934,,1,,,,1,2,8,4,1938,,1,,,,1,2,0,1,1,0,2,,,,1991,,,4,1
724818,3,,2,1,3,1,4,1905,,2,1,1980,,1,2,9,,1906,,2,1,1980,,1,0,1,,,,1,1,,,,,,1,1
724867,3,,4,1,4,4,4,1907,,2,1,1984,,1,3,9,,,,,,,,2,,,2,,,2,,,,1996,,,3,1
724899,3,,1,1,4,5,4,1919,,1,,,,1,5,3,3,1921,,2,1,1962,,2,,,2,,,2,,,,1997,,,3,1
724926,3,,3,1,3,7,2,1917,,2,1,2006,,1,4,3,3,1935,,1,,,,1,1,0,1,1,1,2,,,,1993,,,4,1
724966,3,,2,1,5,6,2,1896,,2,1,1960,,1,3,9,,1897,,2,1,1968,,1,0,1,,,,1,1,,,,,,1,1
725067,3,,1,1,2,8,4,1888,,2,1,1981,,1,2,1,3,1893,,2,1,1983,,1,1,0,,,,1,4,,,,,,1,1
725073,3,,2,1,2,1,4,1930,,1,,,,1,2,9,,1937,,1,,,,1,2,0,,,,2,,,2,,,,1,1
725100,3,,2,1,2,8,4,1906,,2,1,1972,,1,2,8,4,1900,,2,1,1966,,2,,,1,2,1,1,2,,,1960,,,2,1
725206,3,,1,2,,,,,,2,2,,,2,,,,,,3,,,,1,1,5,1,1,5,2,,,,2000,,,3,1
725236,3,,3,1,2,1,4,1916,,2,1,1999,,1,2,9,,1913,,2,1,1996,,1,1,0,,,,2,,,2,,,,1,1
725397,3,,2,1,2,1,2,1918,,2,1,1988,,1,2,9,,1920,,2,1,1990,,2,,,,,,2,,,,,,,1,1
725402,3,,2,1,2,8,4,1897,,2,1,1960,,1,2,1,2,1898,,2,1,1982,,1,0,1,2,,,1,2,,,1959,,,2,1
725509,3,,2,1,2,1,4,1896,,2,1,1962,,1,2,1,2,1904,,2,1,1992,,1,0,1,1,0,3,1,2,,,1962,,,2,0
725535,3,,2,1,2,1,2,1930,,2,1,2002,,1,2,1,2,1934,,2,1,1988,,1,1,0,1,0,1,2,,,,1987,,,4,0
725602,3,,1,1,2,1,4,1921,,2,2,,,1,2,9,,1923,,1,,,,1,3,3,1,2,1,1,3,,,1968,,,2,1
725619,3,,1,1,3,2,3,1952,,1,,,,1,3,9,,1958,,1,,,,1,2,2,1,1,1,2,,,,2003,,,3,1
725622,3,,1,1,2,1,4,1930,,1,,,,1,2,9,,1943,,1,,,,1,0,3,1,2,4,2,,,,2000,,,2,1
725642,3,,2,1,2,8,4,1918,,2,1,1993,,1,2,9,,1922,,1,,,,1,2,1,1,4,0,1,2,,,1971,,,4,1
725643,3,,2,1,2,1,5,1927,,2,1,1986,,1,2,9,,1934,,1,,,,1,2,5,1,5,2,2,,,,1996,,,3,1
725700,3,,1,2,,,,,,2,2,,,2,,,,,,1,,,,1,6,2,1,2,2,1,1,0,,1982,,,4,1
725701,3,,2,1,2,1,1,1907,,2,1,1954,,1,2,9,,1912,,2,1,1992,,1,0,1,,,,2,,,2,,,,1,1
725705,3,,2,1,5,6,4,1951,,1,,,,1,5,9,,1955,,1,,,,1,1,0,,,,2,,,2,,,,1,1
725716,3,,1,1,2,2,3,1942,,1,,,,1,2,9,,1944,,1,,,,1,0,3,1,1,0,2,,,,1996,,,4,1
725726,3,,3,1,2,1,1,1907,,2,1,2001,,1,1,1,1,1917,,2,1,1999,,1,1,1,,,,1,3,,2,,,,2,1
725801,3,,3,1,3,1,2,1931,,2,1,1999,,1,2,1,2,1931,,1,,,,1,1,0,,,,2,,,2,,,,1,0
725901,3,,1,1,2,8,4,1899,,2,1,1980,,1,2,9,,1909,,2,1,1981,,1,2,1,,,,2,,,,,,,2,1
725902,3,,1,1,2,1,1,1919,,1,,,,1,2,9,,1923,,1,,,,1,2,2,1,1,0,1,2,,,1984,,,5,1
725908,3,,2,1,1,1,1,1906,,2,2,,,1,1,9,,1906,,2,2,,,2,,,,,,1,3,,,,,,1,1
725934,3,,1,1,1,1,1,1901,,2,1,1989,,1,1,9,,1907,,2,1,1995,,1,3,1,,,,1,3,,,,,,1,1
725940,3,,1,1,1,1,1,1919,,2,1,1989,,1,1,9,,1927,,2,1,1963,,1,2,2,,,,2,,,,,,,2,1
726010,3,,2,1,2,1,2,1954,2,1,,,2,1,2,9,,1956,2,1,,,2,1,1,2,1,0,2,1,1,1,,2004,,,4,0
726146,3,,2,1,1,1,1,1902,,2,1,1974,,1,1,9,,1902,,2,1,1988,,1,3,1,,,,1,1,,,,,,2,1
726156,3,,1,1,2,1,1,1886,,2,1,1943,,1,1,9,,1884,,2,2,,,2,,,,,,1,4,,,,,,1,1
726161,3,,2,1,4,8,4,1912,,2,1,2007,,1,4,8,4,1941,1,1,,,1,1,1,0,1,0,1,2,,,,1999,,4,4,1
726202,3,,3,1,3,2,3,1946,,1,,,,1,3,3,4,1946,,1,,,,1,0,1,,,,2,,,2,,,,1,1
726209,3,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,1,1,2,1,0,1,1,3,,,1945,,,2,1
726218,3,,1,1,2,1,1,1910,,2,1,1994,,1,1,9,,1919,,1,,,,1,0,2,1,0,2,2,,,,1963,,,3,1
726234,3,,1,1,2,1,1,1928,,1,,,,1,2,1,1,1930,,1,,,,1,1,0,1,0,1,2,,,,1975,,,4,1
726250,3,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,,,,,1,1
726274,3,,3,1,1,1,1,1895,,2,1,1945,,1,1,1,1,1900,,2,1,1968,,1,1,1,,,,1,2,,,,,,1,1
726311,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,,,,1,1,,,,,,1,1
726463,3,,2,1,3,2,3,1912,,2,1,1987,,1,2,9,,1913,,2,1,1990,,1,0,1,1,1,0,1,2,,,1975,,,2,1
726538,3,,4,1,2,1,1,1914,,2,1,2004,,1,2,1,1,1918,,2,2,,,1,1,1,,,,2,,,2,,,,1,1
726553,3,,2,1,3,1,3,1931,,1,,,,1,1,9,,1939,,1,,,,1,1,0,1,1,0,2,,,,1990,,,4,1
726563,3,,3,1,1,1,1,1906,,2,2,,,2,,,,,,2,2,,,1,0,1,1,0,1,1,2,,,1960,,,2,1
726568,3,,2,1,2,2,2,1921,,2,1,2002,,1,2,9,,,,,,,,1,0,1,1,0,1,2,,,,1976,,,4,1
726608,3,,2,1,1,1,4,1936,,1,,,,1,2,1,4,1935,,1,,,,2,,,1,4,0,2,,,,2001,,,2,1
726703,3,,1,1,2,1,2,1932,,1,,,,1,2,9,,1935,,1,,,,1,1,1,1,0,1,2,,,,1993,,,4,1
726740,3,,2,1,2,1,2,1938,,1,,,,1,2,1,2,1948,,1,,,,1,1,0,2,,,2,,,,2001,,,3,1
726743,3,,1,1,3,10,,,,,,,,1,3,10,,,,,,,,1,1,0,,,,2,,,2,,,,4,1
726811,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,1,,,,,,1,1
726823,3,,2,1,1,8,1,1904,,2,1,1988,,1,1,8,1,1903,,2,1,1990,,1,0,2,,,,2,,,,,,,1,1
726867,3,,1,1,1,8,1,1930,,2,1,2006,,1,1,8,1,1935,,2,1,1988,,1,1,2,,,,2,,,,,,,4,1
726906,3,,3,1,2,1,2,1910,,2,2,,,1,1,9,,1919,,2,2,,,1,6,0,1,0,2,2,,,,1984,,,4,1
726918,3,,3,2,,,,,,2,2,,,2,,,,,,1,,,,1,1,1,1,0,1,2,,,,1984,,,4,1
726932,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,2,,,,1,2,,,,,,1,1
727001,3,,2,1,3,2,3,1941,,1,,,,1,2,9,,1946,,1,,,,1,1,0,2,,,2,,,,2000,,,3,0
727009,3,,3,1,2,2,2,1889,,2,1,1969,,1,2,9,,1889,,2,1,1976,,2,,,,,,1,1,,,,,,1,0
727029,3,,2,1,7,8,4,1926,,2,1,2007,,1,7,9,,1922,,2,1,2004,,1,1,1,,,,2,,,2,,,,1,0
727039,3,,2,1,4,8,4,1943,,1,,,,1,3,8,4,1947,,1,,,,2,,,2,,,2,,,,2003,,,3,0
727132,3,,2,1,5,4,3,1945,2,1,,,2,1,4,1,2,1949,2,1,,,2,1,1,0,1,4,2,2,,,,2000,,,3,1
