NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
812916,1,4,2,1,1957,1,,1,1,4,,,,,,,,,,13,,,,,,16,3,3,1,1,1,51,4,3,7,3,5,0,0,2,0.6776525912,,
812916,2,4,1,2,1952,1,,1,1,3,,,,,,,,,,1,,2,,,,3,1,3,1,1,1,56,4,4,1,1,2,1,1,2,0.6776525912,,
812916,3,4,1,5,1988,1,,1,2,5,60,100,2,2006,2,,,,,2,,3,,,,3,1,3,1,1,1,20,1,1,2,1,2,0,1,2,0.6776525912,,2
812916,4,4,1,5,1996,1,,1,2,2,,,,,,,,,,17,,,,,,3,1,3,1,1,1,12,1,1,7,3,5,0,0,2,0.6776525912,,
812917,1,2,2,1,1966,1,,1,2,4,,,,,,,,,,2,,2,,,,3,1,3,1,1,1,42,3,2,2,1,2,1,1,2,0.8750133886,,
812917,2,2,2,3,1943,1,,2,4,2,,,,,,,,,,13,,,,,,5,1,3,1,1,1,65,4,5,7,3,5,0,1,2,0.8750133886,,
812919,1,2,2,1,1943,1,,2,3,7,96,110,2,1966,,2,,,,15,3,9,,,10,9,2,9,2,3,2,65,4,5,6,3,5,1,1,2,2.4666473982,,5
812919,2,2,1,6,1966,1,,2,2,7,110,110,2,1996,,2,,,,2,,3,,,10,9,2,9,2,3,2,42,3,2,2,1,2,0,1,2,2.4666473982,,3
812920,1,5,1,1,1970,1,,2,1,5,42,60,2,1989,2,,,,,2,,5,,,,9,2,9,2,3,2,38,2,2,2,1,4,0,1,3,2.4057531075,,2
812920,2,5,2,2,1974,1,,2,1,7,108,110,2,2001,,2,,,,2,,8,,,10,9,2,9,2,3,2,34,2,1,2,1,4,0,1,3,2.4057531075,,3
812920,3,5,2,4,1930,1,,9,4,7,99,110,2,1954,,2,,,,15,2,8,,,10,9,2,9,2,3,2,78,5,5,6,3,5,1,1,3,2.4057531075,,5
812920,4,5,1,5,2007,1,,1,2,1,,,,,,,,,,18,,,,,,9,2,9,2,3,2,1,1,1,7,3,5,0,0,3,2.4057531075,,
812920,5,5,2,5,2003,1,,1,2,1,,,,,,,,,,18,,,,,,9,2,9,2,3,2,5,1,1,7,3,5,0,0,3,2.4057531075,,
812924,1,2,1,1,1936,1,,2,1,5,7,10,2,1954,2,,,,,15,4,4,,,,9,2,9,2,3,2,72,5,5,6,3,5,1,1,2,1.909329987,,2
812924,2,2,2,2,1937,1,,2,1,2,,,,,,,,,,15,8,4,,,,9,2,9,2,3,2,71,5,5,6,3,5,0,1,2,1.909329987,,
812932,1,2,1,1,1969,1,,3,1,7,110,110,1,2001,,2,,,,2,,4,,,9,9,2,9,2,3,2,39,2,2,2,1,4,1,1,2,3.1177220629,,3
812932,2,2,2,2,1970,1,,3,1,5,53,60,2,1989,2,,,,,2,,4,,,,9,2,9,2,3,2,38,2,2,2,1,4,0,1,2,3.1177220629,,3
812989,1,4,2,1,1966,1,,2,1,7,108,110,2,1989,,2,,,,4,,9,,,1,3,1,3,1,1,2,42,3,2,3,1,3,1,1,2,0.4352135425,,3
812989,2,4,1,2,1962,1,,2,1,5,56,60,2,1981,1,,2,,,8,,4,,,,3,1,3,1,1,2,46,3,3,5,2,4,0,1,2,0.4352135425,,2
812989,3,4,2,5,1998,1,,1,2,1,,,,,,,,,,17,,,,,,3,1,3,1,1,2,10,1,1,7,3,5,0,0,2,0.4352135425,,
812989,4,4,1,5,2000,1,,1,2,1,,,,,,,,,,17,,,,,,3,1,3,1,1,2,8,1,1,7,3,5,0,0,2,0.4352135425,,
812992,1,1,2,1,1978,1,,1,2,5,52,60,2,1998,1,,1,,,2,,4,,,,3,1,3,1,1,2,30,1,1,2,1,4,1,1,1,0.61467119,,2
812998,1,1,2,1,1933,1,,4,4,2,,,,,,,,,,16,,,,,,3,1,3,1,1,2,75,5,5,6,3,5,1,1,1,0.3764319306,3,
812999,1,1,1,1,1966,1,,2,2,7,104,110,2,1991,,2,,,,4,,2,,,6,6,1,3,1,1,2,42,3,2,3,1,2,1,1,1,0.6146748061,,2
813003,1,2,1,1,1925,1,,3,1,2,,,,,,,,,,15,2,9,,,,3,1,3,1,1,2,83,5,5,6,3,5,1,1,2,0.3764366715,,
813003,2,2,2,2,1925,1,,4,1,2,,,,,,,,,,15,1,2,,,,3,1,3,1,1,2,83,5,5,6,3,5,0,1,2,0.3764366715,3,
813011,1,2,1,1,1937,1,,2,1,2,,,,,,,,,,15,1,9,,,,3,1,3,1,1,2,71,5,5,6,3,5,1,1,1,0.3764366715,,
813011,2,2,2,2,1938,1,,2,1,2,,,,,,,,,,13,,,,,,3,1,3,1,1,2,70,5,5,7,3,5,0,0,1,0.3764366715,,
813016,1,2,2,1,1937,1,,2,1,2,,,,,,,,,,15,1,2,,,,3,1,3,1,1,2,71,5,5,6,3,5,0,1,2,0.3764366715,,
813016,2,2,1,2,1932,1,,2,1,2,,,,,,,,,,15,1,2,,,,3,1,3,1,1,2,76,5,5,6,3,5,1,1,2,0.3764366715,,
