nquest,npagcart,npagcaan,nprel1,nprel1an,prelmed1,pagam4u,pagam4,pagam4an,nprel2,nprel2an,prelmed2,assban,nassban,nassban2,assdep,limass,ammass,checkcc,checktipo,scont1,scont2,scont3,scont4
56529,2,,10,,250,1,2,,2,,250,1,,10,1,1,110000,3,2,1,,,
56603,,,4,,200,1,14,,0,,,2,,,1,3,,3,2,2,2,1,
56610,,,,,,,,,,,,,,,,,,,,1,,,
56624,2,,8,,100,1,,10,,4,400,1,,2,1,1,110000,1,2,2,2,1,
56656,4,,4,,250,2,,,0,,,1,,2,3,,,3,1,2,1,,
56658,,,2,,200,1,2,,0,,,2,,,3,,,4,1,1,,,
56677,,,4,,300,1,1,,2,,500,2,,,3,,,3,2,2,2,1,
56686,,,4,,200,1,1,,,2,500,2,,,3,,,2,2,1,,,
56701,,,,,,,,,1,,1000,2,,,3,,,3,4,1,,,
56706,2,,1,,250,1,4,,,4,100,2,,,1,3,,5,4,1,,,
56926,,,,,,,,,,,,,,,,,,,,2,2,2,2
57027,,,3,,150,1,4,,,7,500,2,,,3,,,3,2,1,,,
57042,,,,,,,,,,,,,,,,,,,,1,,,
57086,,,,4,250,1,2,,1,,400,2,,,2,,,2,2,2,2,1,
57232,,,,,,,,,,,,,,,,,,,,1,,,
57374,,,3,,250,2,,,0,,,1,,2,2,,,3,1,2,2,1,
57547,,,6,,250,2,,,,4,400,2,,,1,3,,3,2,2,2,1,
57615,,4,2,,250,1,,6,1,,600,1,,5,3,,,5,4,1,,,
57779,,,1,,400,1,3,,0,,,2,,,2,,,6,2,2,2,1,
57911,1,,3,,150,1,1,,0,,,1,1,,1,3,,2,1,2,2,2,1
57962,2,,6,,200,1,4,,0,,,1,,6,1,1,103000,4,3,2,2,2,2
58053,,,6,,100,1,2,,0,,,1,,6,1,1,103000,3,3,2,2,2,2
58055,6,,6,,200,1,4,,,5,300,1,1,,1,1,103000,3,3,2,2,2,2
58366,2,,4,,200,1,4,,,2,350,1,,3,3,,,4,1,2,2,2,2
91008,5,,0,,,2,,,0,,,1,,2,2,,,1,3,2,2,2,2
91010,,,2,,250,1,2,,0,,,2,,,3,,,5,3,2,2,2,1
91043,,,2,,200,1,3,,,4,1000,2,,,3,,,3,1,2,2,2,2
91067,,,2,,250,1,5,,0,,,2,,,3,,,2,2,2,2,2,2
91068,,,3,,250,1,2,,,4,300,2,,,3,,,2,2,2,1,,
91071,2,,3,,500,1,5,,0,,,2,,,3,,,1,1,2,2,2,2
91074,,,6,,150,1,15,,0,,,2,,,1,3,,3,1,2,1,,
91095,0,,4,,250,1,25,,,2,1000,1,,6,2,,,1,1,2,2,2,2
104002,,,4,,500,1,,10,5,,500,2,,,2,,,4,1,1,,,
111052,,,3,,150,1,,10,2,,300,2,,,2,,,3,1,2,2,1,
138091,,,6,,150,1,3,,1,,500,1,2,,1,1,103000,3,3,2,2,2,2
143090,,,2,,400,1,2,,,2,1000,2,,,1,3,,4,1,2,2,1,
145007,10,,4,,250,2,,,0,,,1,12,,2,,,2,1,2,2,2,2
145012,,,8,,150,1,15,,0,,,1,,3,3,,,3,3,2,2,2,1
176019,,,,,,,,,2,,250,2,,,2,,,3,3,1,,,
176061,,,0,,,1,5,,2,,250,2,,,2,,,3,3,2,2,1,
188054,,,,,,,,,,4,1500,1,,10,2,,,3,1,2,2,1,
193026,4,,1,,250,1,2,,0,,,2,,,3,,,2,2,2,2,1,
215018,,,,,,,,,1,,1000,2,,,3,,,3,3,2,1,,
217081,,3,4,,250,1,6,,,1,500,2,,,2,,,3,1,2,2,1,
224028,,,8,,150,1,2,,0,,,1,,4,2,,,4,1,2,2,2,2
