nquest,nord,figl,nfigl,altrf,desf1,desf2,motnf1,motnf2,motnf3,HAPPY
60078,4,,,,,,,,,
60078,5,,,,,,,,,
91079,1,1,1,5,,,9,99,,9
91079,2,,,,,,,,,
91079,3,,,,,,,,,
91081,1,,,,,,,,,8
91081,2,1,1,5,,,9,99,,
91081,3,,,,,,,,,
121067,1,,,,,,,,,6
137008,1,,,,,,,,,8
137008,2,,,,,,,,,
137008,3,,,,,,,,,
137008,4,,,,,,,,,
138399,1,,,,,,,,,8
138399,2,1,1,,1,,,,,
176011,1,,,,,,,,,9
176011,2,,,,,,,,,
176011,3,2,,2,,,,,,
176057,1,,,,,,,,,6
176057,2,,,,,,,,,
176068,1,,,,,,,,,9
176068,2,1,1,,2,,10,99,,
176068,3,,,,,,,,,
178001,1,,,,,,,,,6
178058,1,,,,,,,,,8
178058,2,,,,,,,,,
178058,3,,,,,,,,,
193016,1,,,,,,,,,7
193082,1,1,2,5,,,8,99,,7
193082,2,,,,,,,,,
193082,3,,,,,,,,,
193082,4,,,,,,,,,
213440,1,,,,,,,,,9
213440,2,,,,,,,,,
213440,3,,,,,,,,,
215011,1,,,,,,,,,6
216022,1,,,,,,,,,9
216022,2,1,3,,1,,,,,
230003,1,,,,,,,,,6
230003,2,1,2,,2,,1,3,99,
230003,3,,,,,,,,,
230029,1,,,,,,,,,8
230029,2,1,2,,1,,,,,
230030,1,,,,,,,,,7
230039,1,1,1,3,,,,,,3
230039,2,,,,,,,,,
230039,3,,,,,,,,,
230043,1,,,,,,,,,8
230048,1,,,,,,,,,7
244004,1,,,,,,,,,10
244064,1,1,2,3,,,,,,8
244064,2,,,,,,,,,
244064,3,,,,,,,,,
244064,4,,,,,,,,,
250005,1,1,3,,1,,,,,7
250005,2,,,,,,,,,
250037,1,,,,,,,,,5
250039,1,1,2,,1,,,,,6
250039,2,,,,,,,,,
256015,1,,,,,,,,,10
256015,2,1,4,3,,,,,,
256015,3,,,,,,,,,
256015,4,,,,,,,,,
256015,5,,,,,,,,,
256015,6,,,,,,,,,
