nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
24379,1,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,4800,4800,86.593823435,0,0,0,86.593823435,4886.5938234,13986.593823,0,0
24382,1,0,0,11050,0,0,0,0,0,0,11050,0,0,11050,0,0,3600,3600,8.219279438,0,0,0,8.219279438,3608.2192794,14658.219279,0,0
24382,2,3000,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0
24393,1,0,0,12350,0,0,0,0,0,0,12350,0,0,12350,0,0,5400,5400,124.1131353,0,0,0,124.1131353,5524.1131353,17874.113135,0,0
24529,1,0,0,24050,0,0,0,0,0,0,24050,0,0,24050,0,0,12000,12000,836.45874156,0,0,0,836.45874156,12836.458742,36886.458742,0,0
24529,3,23000,370.20069803,0,0,0,0,0,0,23370.200698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23370.200698,0,0
24529,4,20000,700,0,0,0,1300,0,0,20700,0,0,1300,1300,0,0,0,0,0,0,0,0,0,0,22000,0,0
24571,1,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,4800,4800,696.136,0,0,0,696.136,5496.136,13296.136,0,0
24571,2,0,0,6656,0,0,0,0,0,0,6656,0,0,6656,0,0,0,0,0,0,0,0,0,0,6656,0,0
24616,1,0,0,13910,0,0,0,0,0,0,13910,0,0,13910,0,0,0,0,174.034,0,0,0,174.034,174.034,14084.034,0,0
24616,2,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,0,0,0,0,0,0,0,0,8060,0,0
24760,1,0,0,10800,0,0,0,0,0,0,10800,0,0,10800,0,0,3600,3600,0,0,0,0,0,3600,14400,0,0
24764,1,17000,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,6000,6000,69.6136,0,0,0,69.6136,6069.6136,23069.6136,0,0
24809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,14600,24600,2262.442,0,434.725,0,2697.167,27297.167,27297.167,0,0
24809,2,22000,0,14950,0,0,0,0,0,22000,14950,0,0,14950,0,0,0,0,0,0,0,0,0,0,36950,0,0
24853,1,27000,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,6600,6600,55.582606358,0,0,0,55.582606358,6655.5826064,33655.582606,0,0
24853,2,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0
24885,1,0,0,7800,0,0,0,0,0,0,7800,0,0,7800,0,0,0,0,93.337049556,0,0,0,93.337049556,93.337049556,7893.3370496,0,0
24924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14285.714286,0,0,0,91.36785,0,478.1975,9868.32,-9298.75465,-9298.75465,4986.9596357,14285.714286,0
24924,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15714.285714,0,0,0,0,0,0,0,0,0,15714.285714,15714.285714,0
24984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18600,18600,174.034,0,869.45,0,1043.484,19643.484,19643.484,0,0
